id	categoria	nome	quantidade	nota
est-cabanas-amarela	Cabanas	Amarela	3	
est-cabanas-azul-claro	Cabanas	Azul Claro	9	
est-cabanas-azul-marinho	Cabanas	Azul Marinho	1	
est-cabanas-azul-tiffany-poa	Cabanas	Azul Tiffany Poá	4	
est-cabanas-bege-com-verde-musgo-e-animais	Cabanas	Bege Com Verde Musgo E Animais	1	
est-cabanas-bege-tecido	Cabanas	Bege Tecido	18	
est-cabanas-branca-cetim-floral	Cabanas	Branca Cetim Floral	3	
est-cabanas-branca-lisa	Cabanas	Branca Lisa	2	
est-cabanas-branca-poa	Cabanas	Branca Poá	4	
est-cabanas-camuflada-tactel	Cabanas	Camuflada Tactel	8	
est-cabanas-camuflada-tecido	Cabanas	Camuflada Tecido	6	
est-cabanas-chevron-azul-marinho-branco	Cabanas	Chevron Azul Marinho/Branco	2	
est-cabanas-chevron-azul-azul-bebe	Cabanas	Chevron Azul/Azul Bebê	1	
est-cabanas-chevron-branca-rose	Cabanas	Chevron Branca/Rosê	1	
est-cabanas-chevron-branca-verde	Cabanas	Chevron Branca/Verde	1	
est-cabanas-chevron-c-poa-azul-bebe	Cabanas	Chevron C/ Poá Azul Bebê	1	
est-cabanas-chevron-laranja-cinza-verde-branca	Cabanas	Chevron Laranja/Cinza/Verde/Branca	1	
est-cabanas-cinza-poa	Cabanas	Cinza Poá	3	
est-cabanas-floral-azul-rosa	Cabanas	Floral Azul/Rosa	2	
est-cabanas-jeans	Cabanas	Jeans	8	
est-cabanas-laranja-neon	Cabanas	Laranja Neon	2	
est-cabanas-lilas-clara	Cabanas	Lilás Clara	4	
est-cabanas-lilas-escura	Cabanas	Lilás Escura	3	
est-cabanas-lilas-media	Cabanas	Lilás Média	2	
est-cabanas-lilas-poa	Cabanas	Lilás Poá	2	
est-cabanas-poa-vermelho	Cabanas	Poá Vermelho	1	
est-cabanas-preta	Cabanas	Preta	4	
est-cabanas-renda-bege	Cabanas	Renda Bege	1	
est-cabanas-rosa-claro	Cabanas	Rosa Claro	9	
est-cabanas-rosa-claro-chevron-com-poa	Cabanas	Rosa Claro Chevron Com Poá	6	
est-cabanas-rosa-claro-com-nuvens-brancas	Cabanas	Rosa Claro Com Nuvens Brancas	3	
est-cabanas-rosa-escuro-pink	Cabanas	Rosa Escuro (Pink)	4	
est-cabanas-rosa-escuro-com-nuvens-brancas	Cabanas	Rosa Escuro Com Nuvens Brancas	2	
est-cabanas-rosa-neon	Cabanas	Rosa Neon	3	
est-cabanas-rose-cetim-floral	Cabanas	Rosê Cetim Floral	2	
est-cabanas-roxa	Cabanas	Roxa	3	
est-cabanas-roxa-poa	Cabanas	Roxa Poá	2	
est-cabanas-salmao-com-nuvens-brancas	Cabanas	Salmão Com Nuvens Brancas	2	
est-cabanas-snoopy	Cabanas	Snoopy	2	
est-cabanas-triangulos-cinza-rosa-branco	Cabanas	Triangulos Cinza/Rosa/Branco	2	
est-cabanas-verde	Cabanas	Verde	1	
est-cabanas-verde-agua	Cabanas	Verde Agua	6	
est-cabanas-verde-musgo-camuflata-tecido	Cabanas	Verde Musgo/Camuflata Tecido	3	
est-cabanas-verde-neon	Cabanas	Verde Neon	3	
est-cabanas-vermelha	Cabanas	Vermelha	4	
est-tendas-armacao-armacao-tenda-grde	Tendas — Armação	Armação Tenda Grde	2	
est-tendas-armacao-armacao-tenda-pq	Tendas — Armação	Armação Tenda Pq	1	
est-tendas-armacao-pecas-tenda-gde	Tendas — Armação	Peças Tenda Gde	2	2 KIT OK
est-tendas-armacao-canos-com-areia-pro-tecido	Tendas — Armação	Canos Com Areia Pro Tecido	2	
est-tendas-tecidos-branco-de-amarrar	Tendas — Tecidos	Branco De Amarrar	1	
est-tendas-tecidos-roxo-de-elanca	Tendas — Tecidos	Roxo De Elanca	1	
est-tendas-tecidos-azul-de-elanca	Tendas — Tecidos	Azul De Elanca	1	
est-tendas-tecidos-branco-de-veu	Tendas — Tecidos	Branco De Véu	1	
est-tendas-tecidos-roxo-de-veu	Tendas — Tecidos	Roxo De Véu	1	
est-tendas-tecidos-rosa-de-veu	Tendas — Tecidos	Rosa De Véu	1	
est-travesseiros-travesseiros-unidades	Travesseiros	Travesseiros (Unidades)	87	
est-fronhas-cetim-rose	Fronhas	Cetim Rosê	14	
est-fronhas-olhinho	Fronhas	Olhinho	22	
est-fronhas-cetim-pink	Fronhas	Cetim Pink	5	
est-fronhas-verde-agua	Fronhas	Verde Agua	16	
est-fronhas-verde-abacate	Fronhas	Verde Abacate	4	
est-fronhas-verde-musgo	Fronhas	Verde Musgo	4	
est-fronhas-verde-claro	Fronhas	Verde Claro	14	
est-fronhas-azul-marinho	Fronhas	Azul Marinho	2	
est-fronhas-azul-petroleo	Fronhas	Azul Petróleo	8	
est-fronhas-azul-bebe	Fronhas	Azul Bebê	13	
est-fronhas-azul-cetim	Fronhas	Azul Cetim	10	
est-fronhas-vermelho	Fronhas	Vermelho	12	
est-fronhas-lilas-escuro	Fronhas	Lilás Escuro	17	
est-fronhas-lilas-claro	Fronhas	Lilás Claro	8	
est-fronhas-lilas-cetim	Fronhas	Lilás Cetim	10	
est-fronhas-rosa-claro	Fronhas	Rosa Claro	12	
est-fronhas-pink	Fronhas	Pink	28	
